Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
2.7600       -6887.1050  -6888.4429   -6906.1523      17.7095  2140.7
2.7700       -6887.0791  -6888.8203   -6905.3027      16.4827  1992.4
2.7800       -6887.0820  -6889.2856   -6905.5137      16.2279  1961.6
2.7900       -6887.0840  -6889.8262   -6907.6104      17.7842  2149.8
2.8000       -6887.0532  -6890.8521   -6908.6763      17.8240  2154.6
2.8100       -6887.0435  -6892.2710   -6908.3037      16.0329  1938.1
2.8200       -6887.0601  -6893.5239   -6908.6152      15.0913  1824.2
2.8300       -6887.0815  -6894.3447   -6908.2607      13.9159  1682.2
2.8400       -6887.1270  -6894.5337   -6908.4868      13.9533  1686.7
2.8500       -6887.1606  -6894.0854   -6908.5479      14.4626  1748.2
2.8600       -6887.1714  -6893.0923   -6908.5239      15.4314  1865.4
2.8700       -6887.1787  -6891.7788   -6908.6714      16.8927  2042.0
2.8800       -6887.1621  -6890.5576   -6908.7915      18.2339  2204.1
2.8900       -6887.1333  -6889.9263   -6908.1758      18.2494  2206.0
2.9000       -6887.0967  -6889.9199   -6906.7505      16.8306  2034.5
2.9100       -6887.0967  -6890.1460   -6906.5957      16.4496  1988.4
2.9200       -6887.0913  -6890.4297   -6907.0806      16.6509  2012.8
2.9300       -6887.0845  -6890.8516   -6907.9116      17.0600  2062.2
2.9400       -6887.0811  -6891.5107   -6908.0942      16.5836  2004.6
2.9500       -6887.0786  -6892.1631   -6907.0806      14.9177  1803.3
2.9600       -6887.1162  -6892.4214   -6906.6069      14.1856  1714.8
2.9700       -6887.1528  -6892.1299   -6907.5640      15.4342  1865.7
2.9800       -6887.1431  -6891.5210   -6907.9272      16.4063  1983.2
2.9900       -6887.1543  -6890.9019   -6905.6592      14.7571  1783.8
3.0000       -6887.1665  -6889.9429   -6907.0703      17.1272  2070.3
3.0100       -6887.1294  -6889.1118   -6909.1055      19.9937  2416.9
3.0200       -6887.0742  -6889.4224   -6907.3828      17.9604  2171.1
3.0300       -6887.0669  -6890.3525   -6907.5273      17.1748  2076.1
3.0400       -6887.0615  -6891.4580   -6906.5986      15.1406  1830.2
3.0500       -6887.0869  -6892.1104   -6905.9346      13.8244  1671.1
3.0600       -6887.1182  -6892.1538   -6907.2207      15.0671  1821.3
3.0700       -6887.1328  -6891.8340   -6907.9146      16.0808  1943.9
3.0800       -6887.1357  -6891.4028   -6907.2886      15.8859  1920.3
3.0900       -6887.1362  -6890.8550   -6906.7334      15.8785  1919.4
3.1000       -6887.1353  -6890.1982   -6907.0415      16.8434  2036.0
