Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
3.0800       -6885.5054  -6889.3076   -6905.6245      16.3168  1972.4
3.0900       -6885.5122  -6888.4282   -6904.6362      16.2078  1959.2
3.1000       -6885.5078  -6887.5254   -6903.4287      15.9032  1922.4
3.1100       -6885.5034  -6886.5205   -6904.1523      17.6318  2131.3
3.1200       -6885.4580  -6885.9048   -6905.7095      19.8045  2394.0
3.1300       -6885.4106  -6886.4893   -6905.5815      19.0925  2307.9
3.1400       -6885.3809  -6887.9932   -6905.3472      17.3542  2097.8
3.1500       -6885.3760  -6889.6577   -6904.8906      15.2330  1841.4
3.1600       -6885.3975  -6890.8481   -6904.5586      13.7106  1657.3
3.1700       -6885.4424  -6891.3467   -6905.3975      14.0507  1698.5
3.1800       -6885.4878  -6891.3003   -6907.1440      15.8439  1915.2
3.1900       -6885.4756  -6891.0635   -6908.2437      17.1801  2076.7
3.2000       -6885.4434  -6891.0854   -6908.7163      17.6306  2131.2
3.2100       -6885.4297  -6891.5254   -6908.1816      16.6564  2013.4
3.2200       -6885.4419  -6892.0649   -6907.7603      15.6954  1897.3
3.2300       -6885.4580  -6892.3906   -6907.1670      14.7763  1786.2
3.2400       -6885.4858  -6892.3296   -6908.0786      15.7492  1903.8
3.2500       -6885.4756  -6892.0732   -6908.7856      16.7125  2020.2
3.2600       -6885.4751  -6891.8887   -6907.2832      15.3943  1860.9
3.2700       -6885.4956  -6891.5112   -6907.3408      15.8298  1913.5
3.2800       -6885.4902  -6890.9487   -6907.0962      16.1474  1951.9
3.2900       -6885.4927  -6890.3374   -6906.2139      15.8763  1919.1
3.3000       -6885.4907  -6889.6177   -6905.8628      16.2452  1963.7
3.3100       -6885.5010  -6888.8706   -6905.0928      16.2223  1961.0
3.3200       -6885.4834  -6888.1558   -6907.5747      19.4192  2347.4
3.3300       -6885.4341  -6888.3516   -6906.5537      18.2020  2200.3
3.3400       -6885.4214  -6889.1572   -6905.5195      16.3623  1977.9
3.3500       -6885.4170  -6889.9756   -6906.1694      16.1937  1957.5
3.3600       -6885.4204  -6890.8105   -6907.1396      16.3293  1973.9
3.3700       -6885.4204  -6891.5630   -6906.7095      15.1467  1830.9
3.3800       -6885.4429  -6892.0015   -6907.0200      15.0183  1815.4
3.3900       -6885.4619  -6892.0610   -6906.9502      14.8889  1799.8
3.4000       -6885.4927  -6891.7354   -6906.8076      15.0722  1821.9
3.4100       -6885.4834  -6891.0181   -6907.0757      16.0574  1941.0
3.4200       -6885.4971  -6890.2485   -6908.5547      18.3060  2212.8
3.4300       -6885.4492  -6890.0166   -6908.4390      18.4224  2226.9
3.4400       -6885.4307  -6890.5225   -6907.9346      17.4122  2104.8
3.4500       -6885.4170  -6891.3398   -6907.4912      16.1512  1952.4
3.4600       -6885.4297  -6892.1064   -6907.8174      15.7111  1899.2
3.4700       -6885.4438  -6892.6587   -6907.5586      14.8999  1801.1
3.4800       -6885.4517  -6892.8286   -6908.4194      15.5910  1884.6
3.4900       -6885.4590  -6892.8057   -6908.8765      16.0709  1942.7
3.5000       -6885.4761  -6892.6787   -6908.0977      15.4191  1863.9
3.5100       -6885.4834  -6892.3174   -6908.2510      15.9335  1926.1
3.5200       -6885.4917  -6891.8354   -6907.9834      16.1481  1952.0
3.5300       -6885.4858  -6891.3135   -6908.7178      17.4043  2103.8
